id,=BredPreg,"=if(BredAbort,1,0)",=evsireNAAB,=@date(LACT),=evnumt,=evnum,=evdate,EvGap,Tech,=@date(Pen),"=if(bredsexed,1,0)",BredReas,=@date(dim),=now(apiId),=evloc,=now(owner),=now(BRD),=@date(age),=now(Other2ID),=now(Other5ID),ConceptRate,BredUnk,EvSireBreed,EvSireStudCd,evWeek,=now(Age1BLT),=now(Total),=now(ApiId),EvId,EvTypeShort,=details/units,=details/sire,=details/sexed,=details/bredreason,isChore,InvldBrd,BredPreg,BredAbort,EvSireNAAB,LACT,EvNumT,EvNum,EvDate,Pen,BREDsexed,Proto,DIM,ApiId,EvLoc,Owner,BRD,AGE,Other2ID,Other5ID,BredOpen,BredRes,Age1BLT,Total,details/units,details/sire,details/sexed,details/bredreason,EvType
759069116,,0,151AN1692,7,1,1,2022-05-05,,Noe Gonzalez,9,1,Double Ovsynch 2PgF,81,3152080,Red Rock Dairy,Red Rock Dairy,Holstein,3063,,,0,false,AN,151,2022-05-01,315,total,3152080,759069116,bred,1,606098,1,Double Ovsynch 2PgF,false,0,false,false,151AN1692,0,1,1,2022-05-05,0,1,Double Ovsynch 2PgF,,759069116,Red Rock Dairy,,,,,,true,Open,,total,1,606098,1,Double Ovsynch 2PgF,Bred
735406522,false,0,151AN1692,2,1,1,2022-03-24,,Rigo Trejo,9,1,Double Ovsynch 2PgF,80,4255624,Red Rock Dairy,Red Rock Dairy,Holstein,1121,,,0,false,AN,151,2022-03-20,383,total,4255624,735406522,bred,1,606098,1,Double Ovsynch 2PgF,false,0,false,false,151AN1692,0,1,1,2022-03-24,0,1,Double Ovsynch 2PgF,,735406522,Red Rock Dairy,,,,,,true,Open,,total,1,606098,1,Double Ovsynch 2PgF,Bred
778148281,false,0,551HO4429,0,1,1,2022-04-25,,Rigo Trejo,14,0,Chalk,,8778116,Red Rock Dairy,Red Rock Dairy,Holstein,388,,,0,false,HO,551,2022-04-24,388,total,8778116,778148281,bred,1,446446,0,Chalk,false,0,false,false,551HO4429,0,1,1,2022-04-25,0,0,,,778148281,Red Rock Dairy,,,,,,true,Open,,total,1,446446,0,Chalk,Bred
781900167,false,0,151AN1692,1,4,4,2022-05-05,35,Rigo Trejo,9,1,Lut to Breed,185,5862180,Red Rock Dairy,Red Rock Dairy,Holstein,843,234,,0,false,AN,151,2022-05-01,385,total,5862180,781900167,bred,1,606098,1,Lut to Breed,false,0,false,false,151AN1692,0,4,4,2022-05-05,0,1,Lut to Breed,,781900167,Red Rock Dairy,,,,,,true,Open,,total,1,606098,1,Lut to Breed,Bred
759990662,true,0,551HO4355,1,1,1,2022-05-05,,Rigo Trejo,1,1,Double Ovsynch 2PgF,76,6416680,Red Rock Dairy,Red Rock Dairy,Holstein,737,126,,100,false,HO,551,2022-05-01,737,total,6416680,759990662,bred,1,448847,1,Double Ovsynch 2PgF,false,0,true,false,551HO4355,0,1,1,2022-05-05,0,1,Double Ovsynch 2PgF,,759990662,Red Rock Dairy,,,,,,false,Preg,,total,1,448847,1,Double Ovsynch 2PgF,Bred
787184005,false,0,151AN1692,1,3,3,2022-05-19,49,Martin Medrano,1,1,Ovsynch,159,6213134,Red Rock Dairy,Red Rock Dairy,Holstein,827,345,,0,false,AN,151,2022-05-15,392,total,6213134,787184005,bred,1,606098,1,Ovsynch,false,0,false,false,151AN1692,0,3,3,2022-05-19,0,1,Ovsynch,,787184005,Red Rock Dairy,,,,,,true,Open,,total,1,606098,1,Ovsynch,Bred
791271812,true,0,151AN1692,1,3,3,2022-05-19,35,Noe Gonzalez,9,1,Lut to Breed,150,6136890,Red Rock Dairy,Red Rock Dairy,Holstein,810,234,,100,false,AN,151,2022-05-15,388,total,6136890,791271812,bred,1,606098,1,Lut to Breed,false,0,true,false,151AN1692,0,3,3,2022-05-19,0,1,Lut to Breed,,791271812,Red Rock Dairy,,,,,,false,Preg,,total,1,606098,1,Lut to Breed,Bred
747170179,false,0,551HO4425,2,1,1,2022-04-14,,Martin Medrano,2,1,Double Ovsynch 2PgF,80,3580044,Red Rock Dairy,Red Rock Dairy,Holstein,1304,,,0,false,HO,551,2022-04-10,382,total,3580044,747170179,bred,1,446595,1,Double Ovsynch 2PgF,false,0,false,false,551HO4425,0,1,1,2022-04-14,0,1,Double Ovsynch 2PgF,,747170179,Red Rock Dairy,,,,,,true,Open,,total,1,446595,1,Double Ovsynch 2PgF,Bred
778148227,true,0,551HO4429,0,1,1,2022-04-25,,Rigo Trejo,14,0,Chalk,,8776642,Red Rock Dairy,Red Rock Dairy,Holstein,389,,,100,false,HO,551,2022-04-24,389,total,8776642,778148227,bred,1,446446,0,Chalk,false,0,true,false,551HO4429,0,1,1,2022-04-25,0,0,,,778148227,Red Rock Dairy,,,,,,false,Preg,,total,1,446446,0,Chalk,Bred
739625359,false,0,551HO4425,1,1,1,2022-03-31,,Rigo Trejo,1,1,Double Ovsynch 2PgF,78,5887670,Red Rock Dairy,Red Rock Dairy,Holstein,801,234,,0,false,HO,551,2022-03-27,384,total,5887670,739625359,bred,1,446595,1,Double Ovsynch 2PgF,false,0,false,false,551HO4425,0,1,1,2022-03-31,0,1,Double Ovsynch 2PgF,,739625359,Red Rock Dairy,,,,,,true,Open,,total,1,446595,1,Double Ovsynch 2PgF,Bred
753260941,true,0,151AN1692,2,1,1,2022-04-28,,Rigo Trejo,10,1,Double Ovsynch 2PgF,83,3783269,Red Rock Dairy,Red Rock Dairy,Holstein,1268,,,100,false,AN,151,2022-04-24,382,total,3783269,753260941,bred,1,606098,1,Double Ovsynch 2PgF,false,0,true,false,151AN1692,0,1,1,2022-04-28,0,1,Double Ovsynch 2PgF,,753260941,Red Rock Dairy,,,,,,false,Preg,,total,1,606098,1,Double Ovsynch 2PgF,Bred
778148236,false,0,551HO4429,0,1,1,2022-04-25,,Rigo Trejo,14,0,Chalk,,8780569,Red Rock Dairy,Red Rock Dairy,Holstein,387,,,0,false,HO,551,2022-04-24,387,total,8780569,778148236,bred,1,446446,0,Chalk,false,0,false,false,551HO4429,0,1,1,2022-04-25,0,0,,,778148236,Red Rock Dairy,,,,,,true,Open,,total,1,446446,0,Chalk,Bred
791271817,true,0,151AN1692,7,2,2,2022-05-19,42,Noe Gonzalez,9,1,Lut to Breed,102,3152086,Red Rock Dairy,Red Rock Dairy,Holstein,3077,,,100,false,AN,151,2022-05-15,837,total,3152086,791271817,bred,1,606098,1,Lut to Breed,false,0,true,false,151AN1692,0,2,2,2022-05-19,0,1,Lut to Breed,,791271817,Red Rock Dairy,,,,,,false,Preg,,total,1,606098,1,Lut to Breed,Bred
