# Preg,AbortRes,SireBull,LACT,Ev#L,#Ev,Date,EvGap,Tech,Pen,bred.sexed,BredReas,DIM@E,AnId,FarmLoc,AnOwner,BRD,Age(da),Other2ID,Other5ID,ConceptRate,BredUnk,EvSireBreed,EvSireStudCd,evWeek,Age1BLT,Total
0,0,551HO4429,1,1,1,17/03/2022,,Rigo Trejo,1,1,Double Ovsynch 2PgF,81,6448213,Red Rock Dairy,Red Rock Dairy,Holstein,729,,,0,FALSE,HO,551,13/03/2022,381,total
1,0,551HO4429,1,1,1,17/03/2022,,Adrian Medrano,1,1,Double Ovsynch 2PgF,81,6144113,Red Rock Dairy,Red Rock Dairy,Holstein,745,234,,100,FALSE,HO,551,13/03/2022,386,total
1,0,551AN1609,2,1,1,17/03/2022,,Rigo Trejo,2,1,Double Ovsynch 2PgF,84,4341292,Red Rock Dairy,Red Rock Dairy,Holstein,1154,,,100,FALSE,AN,551,13/03/2022,390,total
0,0,551AN1609,2,1,1,17/03/2022,,Martin Medrano,2,1,Double Ovsynch 2PgF,84,3792227,Red Rock Dairy,Red Rock Dairy,Holstein,1222,,,0,FALSE,AN,551,13/03/2022,434,total
1,0,551HO4355,1,1,1,28/04/2022,,Noe Gonzalez,1,1,Double Ovsynch 2PgF,77,6468208,Red Rock Dairy,Red Rock Dairy,Holstein,754,345,,100,FALSE,HO,551,24/04/2022,400,total
1,0,551HO4425,1,2,2,24/03/2022,70,Rigo Trejo,10,1,Ovsynch,145,5860247,Red Rock Dairy,Red Rock Dairy,Holstein,802,,,100,FALSE,HO,551,20/03/2022,382,total
1,0,551HO4429,1,2,2,17/03/2022,35,Rigo Trejo,1,1,Lut to Breed,112,5947169,Red Rock Dairy,Red Rock Dairy,Holstein,806,234,,100,FALSE,HO,551,13/03/2022,383,total
1,0,551HO4425,1,2,2,24/03/2022,63,Rigo Trejo,10,1,Ovsynch,143,5850310,Red Rock Dairy,Red Rock Dairy,Holstein,805,,,100,FALSE,HO,551,20/03/2022,389,total
1,0,551AN1609,1,3,3,17/03/2022,35,Martin Medrano,1,1,Lut to Breed,148,5629372,Red Rock Dairy,Red Rock Dairy,Holstein,847,,,100,FALSE,AN,551,13/03/2022,389,total
1,0,151AN1692,0,5,5,12/03/2022,24,Rigo Trejo,14,0,Chalk,,8035128,Red Rock Dairy,Red Rock Dairy,Holstein,471,,,100,FALSE,AN,151,06/03/2022,384,total
1,0,551h0o4429,0,1,1,12/03/2022,,Rigo Trejo,14,0,Chalk,,8480150,Red Rock Dairy,Red Rock Dairy,Holstein,381,,,100,FALSE,,,06/03/2022,381,total
1,0,551h0o4429,0,1,1,13/03/2022,,Rigo Trejo,15,0,Chalk,,8580686,Red Rock Dairy,Red Rock Dairy,Holstein,388,,,100,FALSE,,,13/03/2022,388,total
