# Preg,AbortRes,SireBull,LACT,Ev#L,#Ev,Date,EvGap,Tech,Pen,bred.sexed,BredReas,DIM@E,AnId,FarmLoc,AnOwner,BRD,Age(da),Other2ID,Other5ID,ConceptRate,BredUnk,EvSireBreed,EvSireStudCd,evWeek,Age1BLT,Total
0,0,551HO4429,1,1,1,17/03/2022,,Rigo Trejo,1,1,Double Ovsynch 2PgF,81,6448213,Red Rock Dairy,Red Rock Dairy,Holstein,729,,,0,FALSE,HO,551,13/03/2022,381,total
1,0,551HO4429,1,1,1,17/03/2022,,Adrian Medrano,1,1,Double Ovsynch 2PgF,81,6144113,Red Rock Dairy,Red Rock Dairy,Holstein,745,234,,100,FALSE,HO,551,13/03/2022,386,total
1,0,551AN1609,2,1,1,17/03/2022,,Rigo Trejo,2,1,Double Ovsynch 2PgF,84,4341292,Red Rock Dairy,Red Rock Dairy,Holstein,1154,,,100,FALSE,AN,551,13/03/2022,390,total
0,0,551AN1609,2,1,1,17/03/2022,,Martin Medrano,2,1,Double Ovsynch 2PgF,84,3792227,Red Rock Dairy,Red Rock Dairy,Holstein,1222,,,0,FALSE,AN,551,13/03/2022,434,total
1,0,151AN1692,2,1,1,17/03/2022,,Adrian Medrano,9,1,Double Ovsynch 2PgF,84,4326573,Red Rock Dairy,Red Rock Dairy,Holstein,1158,,,100,FALSE,AN,151,13/03/2022,385,total
1,0,551HO4429,1,1,1,17/03/2022,,Martin Medrano,1,1,Double Ovsynch 2PgF,81,5841951,Red Rock Dairy,Red Rock Dairy,Holstein,802,,,100,FALSE,HO,551,13/03/2022,386,total
1,1,551HO4429,1,1,1,17/03/2022,,Rigo Trejo,1,1,Double Ovsynch 2PgF,81,6144355,Red Rock Dairy,Red Rock Dairy,Holstein,744,126,,100,FALSE,HO,551,13/03/2022,386,total
0,0,151AN1692,4,1,1,17/03/2022,,Rigo Trejo,10,1,Double Ovsynch 2PgF,84,3154756,Red Rock Dairy,Red Rock Dairy,Holstein,2090,,,0,FALSE,AN,151,13/03/2022,377,total
0,0,551HO4429,1,1,1,17/03/2022,,Adrian Medrano,1,1,Double Ovsynch 2PgF,80,6109477,Red Rock Dairy,Red Rock Dairy,Holstein,753,126,,0,FALSE,HO,551,13/03/2022,400,total
0,0,551AN1609,2,1,1,17/03/2022,,Rigo Trejo,2,1,Double Ovsynch 2PgF,83,4610558,Red Rock Dairy,Red Rock Dairy,Holstein,1081,,,0,FALSE,AN,551,13/03/2022,386,total
1,0,551HO4429,1,1,1,17/03/2022,,Martin Medrano,1,1,Double Ovsynch 2PgF,80,6096973,Red Rock Dairy,Red Rock Dairy,Holstein,757,246,,100,FALSE,HO,551,13/03/2022,383,total
1,0,551HO4429,1,1,1,17/03/2022,,Rigo Trejo,1,1,Double Ovsynch 2PgF,80,6048732,Red Rock Dairy,Red Rock Dairy,Holstein,733,234,,100,FALSE,HO,551,13/03/2022,386,total
1,0,151AN1692,3,1,1,17/03/2022,,Martin Medrano,10,1,Double Ovsynch 2PgF,83,3156104,Red Rock Dairy,Red Rock Dairy,Holstein,1565,,,100,FALSE,AN,151,13/03/2022,363,total
1,0,551AN1609,2,1,1,17/03/2022,,Rigo Trejo,2,1,Double Ovsynch 2PgF,83,4654157,Red Rock Dairy,Red Rock Dairy,Holstein,1111,,,100,FALSE,AN,551,13/03/2022,386,total
0,0,551AN1609,2,1,1,17/03/2022,,Martin Medrano,2,1,Double Ovsynch 2PgF,83,4591859,Red Rock Dairy,Red Rock Dairy,Holstein,1091,,,0,FALSE,AN,551,13/03/2022,387,total
0,0,151AN1692,5,1,1,17/03/2022,,Rigo Trejo,9,1,Double Ovsynch 2PgF,83,3155414,Red Rock Dairy,Red Rock Dairy,Holstein,2410,,,0,FALSE,AN,151,13/03/2022,414,total
0,0,551HO4429,1,1,1,17/03/2022,,Martin Medrano,1,1,Double Ovsynch 2PgF,79,6048544,Red Rock Dairy,Red Rock Dairy,Holstein,732,126,,0,FALSE,HO,551,13/03/2022,386,total
